mmdd,site,lead,Obs,GFSMean,GFSStd,EtaMean,EtaStd,date
1001,17,24,6.7,10.363091,1.512419,9.78012,1.384771,1001937600
1002,17,24,12.8,13.608828,1.451802,11.239397,1.343669,1002024000
1003,17,24,13.3,15.297152,1.496694,15.272048,1.325141,1002110400
1004,17,24,12.2,12.571747,1.493117,11.956657,1.329944,1002196800
1005,17,24,13.3,14.625481,1.453838,14.176743,1.315932,1002283200
1006,17,24,12.2,13.938034,1.450527,12.460981,1.322946,1002369600
1007,17,24,13.9,12.84996,1.455133,13.05662,1.317544,1002456000
1008,17,24,14.4,12.014275,1.54124,12.548771,1.360129,1002542400
1009,17,24,9.4,13.194019,1.544911,10.565516,1.388451,1002628800
1010,17,24,6.1,9.575691,1.62978,7.937398,1.467294,1002715200
1011,17,24,5.6,9.555073,1.621604,7.938555,1.46725,1002801600
1012,17,24,6.1,10.421391,1.592793,8.1525,1.45923,1002888000
1013,17,24,6.7,10.755536,1.583441,8.836366,1.435435,1002974400
1014,17,24,9.4,11.598612,1.564361,8.441267,1.448836,1003060800
1015,17,24,10,13.480011,1.768336,10.683331,1.400725,1003147200
1016,17,24,7.8,11.816236,1.770009,10.360668,1.403329,1003233600
1017,17,24,8.3,11.816364,1.742953,12.246643,1.393196,1003320000
1018,17,24,11.7,14.155113,1.752076,11.954844,1.393957,1003406400
1019,17,24,15,12.053249,1.745121,14.762518,1.398937,1003492800
1020,17,24,13.9,10.906425,1.746905,12.751288,1.392581,1003579200
1021,17,24,12.8,10.858456,1.750838,11.953863,1.39396,1003665600
1022,17,24,8.3,10.015452,1.91624,9.869891,1.468333,1003752000
1023,17,24,7.8,8.628969,1.946709,6.154993,1.524862,1003838400
1024,17,24,3.3,7.518728,1.982967,6.656308,1.514763,1003924800
1025,17,24,5,8.460638,1.962308,6.273145,1.522416,1004011200
1026,17,24,4.4,7.823344,1.9604,7.452908,1.50589,1004097600
1027,17,24,9.4,13.36235,1.913029,10.410904,1.463741,1004184000
1028,17,24,7.8,7.090697,1.979127,7.297962,1.50293,1004270400
1029,17,24,3.3,1.215945,2.143578,1.523548,1.621066,1004356800
1030,17,24,0.6,2.054849,2.116381,-0.300429,1.663391,1004443200
1031,17,24,2.2,4.419959,2.050064,0.792638,1.637346,1004529600
1101,17,24,-2.2,4.685443,2.04362,1.024287,1.632086,1004616000
1102,17,24,-2.2,5.479094,2.025614,2.888231,1.593212,1004702400
1103,17,24,1.1,7.276388,1.992013,5.447351,1.550433,1004788800
1104,17,24,7.8,9.699894,1.963166,8.334991,1.531415,1004875200
1105,17,24,7.8,11.355075,2.302933,8.734091,1.689037,1004961600
1106,17,24,8.3,11.845757,2.463779,12.723721,1.694139,1005048000
1107,17,24,10,14.21146,2.509571,12.50421,1.80948,1005134400
1108,17,24,10,11.845466,2.485852,10.940567,1.719995,1005220800
1109,17,24,8.9,13.114117,2.371934,10.708378,1.704869,1005307200
1110,17,24,9.4,14.256899,2.316334,9.359867,1.687834,1005393600
1111,17,24,11.7,12.249673,2.322022,11.046838,1.692533,1005480000
1112,17,24,10,11.983055,2.349745,10.672165,1.703333,1005566400
1113,17,24,10,12.836474,2.34279,10.651857,1.69889,1005652800
1114,17,24,6.1,7.358539,2.319251,7.623287,1.705681,1005739200
1115,17,24,7.2,9.876307,2.39084,8.797111,1.701749,1005825600
1116,17,24,8.9,12.620545,2.308164,9.826124,1.70347,1005912000
1117,17,24,6.1,6.443747,2.351389,8.967055,1.701317,1005998400
1118,17,24,11.7,10.641668,2.39663,10.543398,1.703591,1006084800
1119,17,24,8.3,12.085194,2.270633,11.205454,1.691327,1006171200
1120,17,24,8.3,11.470306,2.2778,10.232625,1.690932,1006257600
1121,17,24,10,13.054205,2.27408,10.765326,1.693683,1006344000
1122,17,24,10,15.595943,2.291705,9.311981,1.692586,1006430400
1123,17,24,7.8,11.15691,2.268828,9.64115,1.705475,1006516800
1124,17,24,0.6,4.625991,2.313815,3.488505,1.722279,1006603200
1125,17,24,0,5.674087,2.293614,3.249342,1.724055,1006689600
1126,17,24,0.6,7.28385,2.458756,5.457821,1.733162,1006776000
1127,17,24,2.8,8.008768,2.457273,7.011711,1.720248,1006862400
1128,17,24,1.1,9.111952,2.449671,8.804461,1.716914,1006948800
1129,17,24,2.2,8.634909,2.452162,6.09276,1.72588,1007035200
1130,17,24,2.8,6.736574,2.461253,5.158255,1.728252,1007121600
1201,17,24,5,10.783539,2.448277,7.31139,1.718932,1007208000
1202,17,24,0,5.08155,2.475077,4.239088,1.733702,1007294400
1203,17,24,4.4,4.161789,2.684314,5.479921,1.944436,1007380800
1204,17,24,6.1,5.790348,2.684108,7.945065,1.971074,1007467200
1205,17,24,3.9,4.685383,2.684941,4.162667,1.971832,1007553600
1206,17,24,0.6,4.676773,2.679876,4.49373,1.948062,1007640000
1207,17,24,2.8,3.737396,2.696102,2.383245,1.969948,1007726400
1208,17,24,3.3,5.256027,2.67871,3.451602,1.981749,1007812800
1209,17,24,7.2,13.611664,2.740132,9.868456,1.938045,1007899200
1210,17,24,7.2,8.168531,2.777682,7.661665,1.964208,1007985600
1211,17,24,8.3,12.117985,2.770348,9.778432,1.952982,1008072000
1212,17,24,7.8,9.125851,2.771575,9.396149,1.950565,1008158400
1213,17,24,9.4,9.647044,2.77627,9.37435,1.982322,1008244800
1214,17,24,8.9,9.584933,2.775864,11.064678,1.968349,1008331200
1215,17,24,8.3,10.818406,2.762927,11.261034,1.963127,1008417600
1216,17,24,5,7.920653,2.767339,3.405558,1.975598,1008504000
1217,17,24,3.9,7.126657,2.686212,5.22608,1.99025,1008590400
1218,17,24,6.1,4.698548,2.691666,3.544254,2.007621,1008676800
1219,17,24,4.4,6.79017,2.67309,3.748637,1.989423,1008763200
1220,17,24,4.4,6.856021,2.690108,6.455583,1.970815,1008849600
1221,17,24,5,9.295496,2.670391,5.448113,1.993857,1008936000
1222,17,24,2.8,4.48805,2.685567,2.481829,1.994938,1009022400
1223,17,24,5,1.576447,2.718866,2.934327,1.986155,1009108800
1224,17,24,3.9,7.250698,2.669326,7.138751,1.979551,1009195200
1225,17,24,4.4,9.087492,2.685439,7.176819,1.977617,1009281600
1226,17,24,6.1,13.149117,2.719752,7.880632,1.976706,1009368000
1227,17,24,5.6,3.787723,2.678746,6.665673,1.978314,1009454400
1228,17,24,2.8,7.395155,2.733995,4.8453,2.019339,1009540800
1229,17,24,3.3,7.657156,2.682807,5.32581,1.984482,1009627200
1230,17,24,5.6,6.271215,2.692093,8.04969,2.009266,1009713600
1231,17,24,6.1,6.062775,2.628836,6.478103,1.979271,1009800000
101,17,24,7.8,7.922127,2.627781,7.24667,2.012924,1009886400
102,17,24,9.4,9.752918,2.645287,10.056283,1.999366,1009972800
103,17,24,9.4,10.32095,2.639532,10.653368,2.027422,1010059200
104,17,24,2.8,5.598843,2.62819,7.719583,1.996158,1010145600
105,17,24,1.1,3.864086,2.663388,4.054241,1.984109,1010232000
106,17,24,3.9,5.438374,2.63361,4.254364,1.986111,1010318400
107,17,24,-1.1,4.280811,2.582516,2.84312,2.010202,1010404800
108,17,24,7.2,2.333557,2.611302,3.616746,2.006012,1010491200
109,17,24,5.6,2.171139,2.602293,4.828192,1.999836,1010577600
110,17,24,5,4.418926,2.579035,6.263444,2.006902,1010664000
111,17,24,4.4,8.32679,2.575108,8.66234,2.012415,1010750400
112,17,24,6.1,8.085228,2.576769,7.982763,2.008451,1010836800
113,17,24,6.7,8.462093,2.591231,9.012193,2.005728,1010923200
114,17,24,3.3,2.922661,2.682906,2.309067,2.100082,1011009600
115,17,24,4.4,4.348133,2.663623,6.130339,2.078126,1011096000
116,17,24,1.7,4.02047,2.679665,5.827262,2.098602,1011182400
117,17,24,4.4,4.192528,2.68941,5.186391,2.079958,1011268800
118,17,24,2.2,3.847847,2.678535,4.446633,2.082298,1011355200
119,17,24,1.1,4.479874,2.662495,2.197954,2.097058,1011441600
120,17,24,3.3,6.527988,2.656727,7.023854,2.078819,1011528000
121,17,24,5,7.028167,2.472635,7.420986,2.090333,1011614400
122,17,24,10,8.326318,2.492193,8.313705,2.097249,1011700800
123,17,24,7.2,9.00347,2.489112,8.361556,2.092977,1011787200
124,17,24,8.9,9.607153,2.497095,12.075274,2.140099,1011873600
125,17,24,14.4,11.10548,2.524713,13.4173,2.166382,1011960000
126,17,24,7.2,8.744884,2.494474,9.116877,2.101597,1012046400
127,17,24,5.6,5.438455,2.470806,3.659961,2.097061,1012132800
128,17,24,7.2,4.085662,2.369224,2.988238,1.922386,1012219200
129,17,24,7.8,8.438718,2.38179,7.933739,1.929595,1012305600
130,17,24,13.9,9.918399,2.400039,9.608709,1.945216,1012392000
131,17,24,7.8,7.22836,2.400127,5.764546,1.922743,1012478400
201,17,24,7.2,7.280686,2.374485,4.548519,1.923215,1012564800
202,17,24,6.1,3.391181,2.38961,1.585401,1.936144,1012651200
203,17,24,1.1,2.623859,2.424744,0.337122,1.947922,1012737600
204,17,24,0,-0.137836,2.187957,1.886588,1.961146,1012824000
205,17,24,0.6,1.813957,2.161187,-0.273365,2.005989,1012910400
206,17,24,1.1,0.498314,2.171951,-0.091621,1.98471,1012996800
207,17,24,-0.6,1.066789,2.166048,0.849266,1.974923,1013083200
208,17,24,0,-0.479226,2.18598,1.616892,1.964621,1013169600
209,17,24,5,3.984219,2.134916,1.35505,1.981719,1013256000
210,17,24,1.7,1.006237,2.162713,2.05602,1.95968,1013342400
211,17,24,5,3.12719,1.904966,2.356964,1.878158,1013428800
212,17,24,6.7,5.331525,1.897136,3.976406,1.869841,1013515200
213,17,24,9.4,5.945292,1.89511,7.205208,1.870632,1013601600
214,17,24,9.4,7.711992,1.902013,7.094026,1.869601,1013688000
215,17,24,7.2,7.732648,1.916777,6.629294,1.867741,1013774400
216,17,24,7.2,6.981431,1.925819,6.019344,1.868158,1013860800
217,17,24,4.4,6.256489,1.923163,5.31554,1.869946,1013947200
218,17,24,6.1,6.689593,1.941523,6.621698,1.891316,1014033600
219,17,24,7.2,6.314204,1.940914,5.164515,1.891032,1014120000
220,17,24,10,8.142491,1.945056,7.041755,1.891293,1014206400
221,17,24,7.2,5.975459,1.948756,4.325749,1.895066,1014292800
222,17,24,3.9,2.106631,1.965995,2.335749,1.910411,1014379200
223,17,24,1.1,-1.702564,2.020255,-0.044604,1.940033,1014465600
224,17,24,0.6,-0.946243,1.991513,-1.665806,1.959532,1014552000
225,17,24,1.1,3.380194,1.945298,2.406693,1.856113,1014638400
226,17,24,4.4,3.678259,1.949342,4.421471,1.847827,1014724800
227,17,24,5,4.739954,1.942153,4.367699,1.853991,1014811200
228,17,24,5.6,5.768784,1.936038,4.683006,1.842797,1014897600
301,17,24,1.1,2.014044,1.944643,4.015839,1.846146,1014984000
302,17,24,5.6,7.123244,1.951317,5.953239,1.859374,1015070400
303,17,24,5,3.850035,1.955746,4.046555,1.864943,1015156800
304,17,24,7.8,7.418361,1.890124,7.366817,1.712951,1015243200
305,17,24,6.7,6.194371,1.883555,6.615074,1.710451,1015329600
306,17,24,8.9,6.318899,1.90366,6.303425,1.710081,1015416000
307,17,24,4.4,6.036084,1.887283,5.915279,1.702819,1015502400
308,17,24,7.8,7.838937,1.893343,8.256912,1.708391,1015588800
309,17,24,10.6,7.780726,1.89408,9.043549,1.715037,1015675200
310,17,24,10,7.569048,1.890955,7.902424,1.706295,1015761600
311,17,24,10.6,8.516531,1.864018,9.924019,1.674655,1015848000
312,17,24,11,7.940094,1.862722,10.899086,1.686994,1015934400
313,17,24,10.6,7.415188,1.841296,9.818764,1.679089,1016020800
314,17,24,11.1,7.314444,1.848106,10.474747,1.687141,1016107200
315,17,24,7.8,5.96915,1.840673,7.677734,1.655245,1016193600
316,17,24,3,2.335608,1.848837,5.531631,1.659467,1016280000
317,17,24,3.3,2.76897,1.849427,3.348152,1.658406,1016366400
318,17,24,6.7,4.956043,1.888936,4.097717,1.629842,1016452800
319,17,24,9.4,7.293348,1.88609,7.30246,1.627041,1016539200
320,17,24,7.8,7.828658,1.879624,6.632431,1.625499,1016625600
321,17,24,11.7,8.057236,1.882155,9.372002,1.640557,1016712000
322,17,24,5,5.716581,1.881894,5.334183,1.652252,1016798400
323,17,24,1.1,1.460694,1.902446,2.360893,1.639201,1016884800
324,17,24,8.3,6.721523,1.887166,5.473122,1.624186,1016971200
325,17,24,7.2,7.445476,1.938195,6.325089,1.700758,1017057600
326,17,24,6.7,5.389606,1.931691,5.076226,1.707301,1017144000
327,17,24,5,2.967556,1.922089,3.451974,1.707363,1017230400
328,17,24,5.6,6.959206,1.92887,6.186726,1.701078,1017316800
329,17,24,9.4,8.002548,1.941244,9.507408,1.72494,1017403200
330,17,24,12.2,8.966423,1.926788,10.540863,1.727009,1017489600
331,17,24,7.2,6.764194,1.924288,6.690346,1.704857,1017576000
401,17,24,3.3,2.71167,1.959105,3.490889,1.710549,1017662400
402,17,24,4.4,6.162958,1.959846,4.283636,1.706604,1017748800
403,17,24,3.9,3.863247,1.94287,4.857582,1.701856,1017835200
404,17,24,5,3.969102,1.964551,3.793799,1.707477,1017921600
405,17,24,6.1,6.097939,1.954869,4.93904,1.709885,1018008000
406,17,24,7,5.606514,1.94056,7.084856,1.704545,1018094400
407,17,24,9.4,6.852936,1.950168,6.737221,1.709687,1018180800
408,17,24,7.2,7.044075,1.82622,7.291748,1.681633,1018267200
409,17,24,9.4,8.838493,1.839989,9.985069,1.695228,1018353600
410,17,24,10,7.645729,1.825279,7.283249,1.678102,1018440000
411,17,24,9.4,7.050301,1.834929,9.123726,1.684037,1018526400
412,17,24,7.2,6.772743,1.826804,9.576958,1.69453,1018612800
413,17,24,7.2,5.753548,1.824605,4.108917,1.67785,1018699200
414,17,24,7.8,6.762482,1.821579,6.993591,1.674504,1018785600
415,17,24,8.3,5.051697,1.807495,6.224846,1.711423,1018872000
416,17,24,8.3,6.088463,1.810699,7.771439,1.716643,1018958400
417,17,24,6.7,5.023209,1.820791,4.894899,1.719094,1019044800
418,17,24,6.1,4.322617,1.809254,4.813957,1.712298,1019131200
419,17,24,8.9,7.136589,1.808197,7.167328,1.712049,1019217600
420,17,24,9.4,8.157219,1.811753,9.460045,1.723168,1019304000
421,17,24,9.4,7.081497,1.813902,5.080312,1.716652,1019390400
422,17,24,8.3,6.673446,1.558781,4.813274,1.617919,1019476800
423,17,24,6.1,9.162169,1.56101,7.526783,1.616808,1019563200
424,17,24,4.4,3.866961,1.585584,3.701634,1.63156,1019649600
425,17,24,6.1,6.223556,1.553031,6.065978,1.615981,1019736000
426,17,24,2.8,8.048836,1.555597,3.848188,1.621789,1019822400
427,17,24,8.9,6.554907,1.55122,6.959495,1.626642,1019908800
428,17,24,9.4,8.63166,1.566967,9.604185,1.630507,1019995200
429,17,24,10.6,6.646019,1.634152,7.997818,1.568609,1020081600
430,17,24,7.8,6.200867,1.636358,7.21175,1.570709,1020168000
501,17,24,7.8,7.785271,1.643197,7.687105,1.580665,1020254400
502,17,24,9.4,6.722404,1.634338,6.20641,1.566554,1020340800
503,17,24,8.3,8.382698,1.639022,7.751288,1.568581,1020427200
504,17,24,7.8,6.91555,1.636405,4.03569,1.572883,1020513600
505,17,24,8.3,3.710899,1.642872,4.128562,1.579641,1020600000
506,17,24,5.6,4.315048,1.578751,5.154621,1.588694,1020686400
507,17,24,6.7,5.607704,1.56967,7.439636,1.587241,1020772800
508,17,24,7.8,6.415993,1.57247,5.526462,1.59044,1020859200
509,17,24,8.3,8.082695,1.570951,7.56235,1.587254,1020945600
510,17,24,9.4,9.590904,1.579392,9.853183,1.600097,1021032000
511,17,24,11.1,8.758003,1.574619,7.956836,1.588989,1021118400
512,17,24,7.8,7.176826,1.581264,6.984299,1.586642,1021204800
513,17,24,12.2,8.336578,1.533233,11.119617,1.589554,1021291200
514,17,24,9.4,3.492104,1.544063,7.252179,1.568426,1021377600
515,17,24,6.7,5.555603,1.543036,4.701311,1.585879,1021464000
516,17,24,5,4.791176,1.543907,5.278033,1.578773,1021550400
517,17,24,3.3,2.765602,1.560101,3.260141,1.592977,1021636800
518,17,24,5,5.515839,1.544522,5.504126,1.581624,1021723200
519,17,24,10,6.824104,1.529918,9.651635,1.576422,1021809600
520,17,24,11.1,9.046097,1.54579,9.651394,1.472199,1021896000
521,17,24,13.3,10.514263,1.55567,12.050423,1.504062,1021982400
522,17,24,13.3,11.059849,1.576915,12.275386,1.515467,1022068800
523,17,24,16.1,14.509502,1.625519,15.488232,1.563145,1022155200
